post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
174907225.in-correspondence-52,2025-09-30T09:28:09.631Z,true,2025-09-30T09:28:09.782Z,2025-09-30T09:28:09.782Z,newsletter,everyone,In Correspondence #52,"A wedding, Deep Joy and post-capitalist solidarity",
172465810.in-correspondence-51,2025-09-01T10:34:13.171Z,true,2025-09-01T10:34:13.255Z,2025-09-01T10:34:13.255Z,newsletter,everyone,In Correspondence #51,,
169249535.in-correspondence-50,2025-07-27T09:00:54.574Z,true,2025-07-27T09:00:54.769Z,2025-07-27T09:00:54.769Z,newsletter,everyone,In Correspondence #50,More from Hilma and tips for the LLM connoisseur,
168280583.two-upcoming-events-network-nations,2025-07-14T11:02:43.135Z,true,2025-07-14T11:02:43.224Z,2025-07-14T11:02:43.224Z,newsletter,everyone,Two upcoming events: Network Nations and Futurecraft,"Shoreditch &Soul in August, and The Garden in September",
167573754.substack-surfacer-countering-substack,2025-07-05T09:12:51.202Z,true,2025-07-05T09:12:51.698Z,2025-07-05T09:12:51.698Z,newsletter,everyone,Substack Surfacer: countering Substack overwhelm,A Python script to rank Substack posts by likes per subscriber,
166535703.introducing-hilma-church-turing,2025-06-22T17:15:06.974Z,true,2025-06-22T17:15:07.169Z,2025-06-22T17:15:07.169Z,newsletter,everyone,Introducing Hilma Church-Turing,"An imaginal biography, and the upcoming book on Technological Metamodernism",
165806711.in-correspondence-49,2025-06-16T07:42:11.866Z,true,2025-06-16T07:42:11.959Z,2025-06-16T07:42:11.959Z,newsletter,everyone,In Correspondence #49,"Elevate, Bread Coop and Circles",
164302858.four-reasons-to-join-us-at-emerge,2025-05-24T15:23:27.014Z,true,2025-05-24T15:23:27.137Z,2025-05-24T15:23:27.137Z,newsletter,everyone,Four reasons to join us at Emerge Lakefront,Applications open now for residencies from 3 months to 3 years,
162542732.life-as-practice-a-yearlong-group,2025-04-30T15:48:23.854Z,true,2025-04-30T15:48:23.945Z,2025-04-30T15:48:23.945Z,newsletter,everyone,Life as Practice: A Yearlong Group Mentorship,"Join me and Laura on a brand new programme, Sep 2025 – Aug 2026",
161205813.in-correspondence-48,2025-05-12T10:00:36.511Z,true,2025-05-12T10:00:36.731Z,2025-05-12T10:00:36.731Z,newsletter,everyone,In Correspondence #48,"Japan, Funding the Commons and an engagement",
158695649.in-correspondence-47,2025-04-04T08:05:52.526Z,true,2025-04-04T08:05:52.598Z,2025-04-04T08:05:52.598Z,newsletter,everyone,In Correspondence #47,"Ekskäret, Soulmaking and Cosmopoesis",
156458219.in-correspondence-46,2025-02-05T13:14:47.874Z,true,2025-02-05T13:14:47.938Z,2025-02-05T13:14:47.938Z,newsletter,everyone,In Correspondence #46,"Andetag, Alalaho and Co-ops as City-States",
153876765.in-correspondence-45,2025-01-01T19:14:35.256Z,true,2025-01-01T19:14:35.348Z,2025-01-01T19:14:35.348Z,newsletter,everyone,In Correspondence #45,"Plans for 2025, Pantheon and Toki Pona",
152457540.in-correspondence-44,2024-12-02T20:40:12.417Z,true,2024-12-02T20:40:12.528Z,2024-12-02T20:40:12.528Z,newsletter,everyone,In Correspondence #44,"Futurecraft, Ekskäret and Right Story",
150927379.in-correspondence-43,2024-10-30T21:57:31.625Z,true,2024-10-30T21:57:31.720Z,2024-10-30T21:57:31.720Z,newsletter,everyone,In Correspondence #43,"Portugal, Pleasure and Playground",
150222733.technological-metamodernism-the-book,2024-10-14T19:33:03.157Z,true,2024-10-14T19:33:03.476Z,2024-10-14T19:33:03.476Z,newsletter,everyone,Technological Metamodernism: the book,Are you interested in sponsoring the project?,
150046333.technological-metamodernism-course,2024-10-10T11:37:13.192Z,true,2024-10-10T11:37:13.333Z,2024-10-10T11:37:13.333Z,newsletter,everyone,Technological Metamodernism course notes,"Bringing together ideas from technology, philosophy, design, game theory, mythology, speculative fiction and consciousness studies",
148264191.in-correspondence-42,2024-08-30T09:41:21.955Z,true,2024-08-30T09:41:22.087Z,2024-08-30T09:41:22.087Z,newsletter,everyone,In Correspondence #42,"Swedish adventures, Superhappiness and a special offer",
147482198.qf-match-funding-please-chip-in,2024-08-08T13:20:27.690Z,true,2024-08-08T13:20:27.809Z,2024-08-08T13:20:27.809Z,newsletter,everyone,QF match funding: please chip in!,Small donations can go a long way,
147200677.in-correspondence-41,2024-08-01T10:43:59.837Z,true,2024-08-01T10:44:00.027Z,2024-08-01T10:44:00.027Z,newsletter,everyone,In Correspondence #41,"Britain, Borderland and upcoming courses",
146631679.practical-ai-a-new-4-week-course,2024-07-15T12:32:44.442Z,true,2024-07-15T12:32:44.558Z,2024-07-15T12:32:44.558Z,newsletter,everyone,"Practical AI, a new 4 week course",Get comfortable using the latest AI tools,
146537242.new-course-technological-metamodernism,2024-07-12T09:58:57.785Z,true,2024-07-12T09:58:57.890Z,2024-07-12T09:58:57.890Z,newsletter,everyone,New course: Technological Metamodernism,"Join me and special guests Hanzi Freinacht, Ellie Hain, Alexander Beiner, Michael Garfield & Rufus Pollock for a four-week deep dive into Technological Metamodernism, 17th Sep – 8th Oct 2024",
145889925.in-correspondence-40,2024-06-26T12:37:15.247Z,true,2024-06-26T12:37:15.428Z,2024-06-26T12:37:15.428Z,newsletter,everyone,In Correspondence #40,"AI, Metacrisis and Existential Hope",
145090417.in-correspondence-39,2024-06-03T09:33:35.028Z,true,2024-06-03T09:33:35.122Z,2024-06-03T09:33:35.122Z,newsletter,everyone,In Correspondence #39,"Futurecraft, the new Dandelion podcast and the Breadchain launch",
144243947.in-correspondence-38,2024-05-03T16:02:03.809Z,true,2024-05-03T16:02:03.890Z,2024-05-03T16:02:03.890Z,newsletter,everyone,In Correspondence #38,"Feÿtopia, Emptiness and Metamodernism",
142184155.in-correspondence-37,2024-03-03T19:46:12.982Z,true,2024-03-03T19:46:13.052Z,2024-03-03T19:46:13.052Z,newsletter,everyone,In Correspondence #37,"Sunflower Rituals, Octopi and Alien Worlds",
141375828.in-correspondence-36,2024-02-05T17:49:58.724Z,true,2024-02-05T17:49:58.977Z,2024-02-05T17:49:58.977Z,newsletter,everyone,In Correspondence #36,"AI consulting, group facilitation and the Third Attractor",
140172834.in-correspondence-35,2024-01-02T13:41:33.388Z,true,2024-01-02T13:41:33.590Z,2024-01-02T13:41:33.590Z,newsletter,everyone,In Correspondence #35,"Costa Rica, Better Catastrophes and Regenerative Futures",
138988407.in-correspondence-34,2023-11-21T12:27:17.382Z,true,2023-11-21T12:27:17.462Z,2023-11-21T12:27:17.462Z,newsletter,everyone,In Correspondence #34,"Ecstatic literacy, technofeudalism and the planetary egregore",
138037743.in-correspondence-33,2023-10-17T18:02:38.664Z,true,2023-10-17T18:02:38.778Z,2023-10-17T18:02:38.778Z,newsletter,everyone,In Correspondence #33,"Planet Local, Futurecraft & Better Catastrophes",
136965547.in-correspondence-32,2023-09-12T12:25:38.230Z,true,2023-09-12T12:25:38.322Z,2023-09-12T12:25:38.322Z,newsletter,everyone,In Correspondence #32,"Handfasting, Harry Mack and the Eye of the Heart",
135714419.in-correspondence-31,2023-08-05T23:28:37.818Z,true,2023-08-05T23:28:37.914Z,2023-08-05T23:28:37.914Z,newsletter,everyone,In Correspondence #31,"Parisian conferences, Berlin spas and the Age of Mythic Powers",
135517435.futurecraft-residency-brave-earth,2023-08-08T12:31:11.093Z,true,2023-08-08T12:31:11.178Z,2023-08-08T12:31:11.178Z,newsletter,everyone,Futurecraft Residency: Brave Earth,"A week-long facilitated residency exploring regenerative and resilient futures, 12th – 19th December 2023",
129658996.introduction-to-ai,2023-06-20T08:49:01.243Z,true,2023-06-20T08:49:01.312Z,2023-06-20T08:49:01.312Z,newsletter,everyone,Introduction to AI,"My new four week course, running 28th Sep – 19th Oct",
128462902.in-correspondence-30,2023-06-16T11:32:56.599Z,true,2023-06-16T11:32:56.692Z,2023-06-16T11:32:56.692Z,newsletter,everyone,In Correspondence #30,"Triathlons, Tantric Quests and a Summer of Social Impact",
120326840.in-correspondence-29,2023-05-09T19:14:04.178Z,true,2023-05-09T19:14:04.329Z,2023-05-09T19:14:04.329Z,newsletter,everyone,In Correspondence #29,"Futurecraft, Irish cliffs and the Enchanted Village",
109879774.in-correspondence-28,2023-03-29T11:22:04.022Z,true,2023-03-29T11:22:04.259Z,2023-03-29T11:22:04.259Z,newsletter,everyone,In Correspondence #28,"Botanical gardens, DMT and AI-me",
105198354.in-correspondence-27,2023-02-26T15:14:51.335Z,true,2023-02-26T15:14:51.660Z,2023-02-26T15:14:51.660Z,newsletter,everyone,In Correspondence #27,"Knowledgegraphs, MetacrisisDAO and Myths as Maps",
99223380.in-correspondence-26,2023-01-27T12:53:21.992Z,true,2023-01-27T12:53:22.086Z,2023-01-27T12:53:22.086Z,newsletter,everyone,In Correspondence #26,"Metacrisis guide, True Nature launch party and an event with Alnoor Ladha",
97247226.post-capitalism-and-the-five-elements,2023-01-17T12:27:38.090Z,true,2023-01-17T12:27:38.173Z,2023-01-17T12:27:38.173Z,newsletter,everyone,Post Capitalism and the Five Elements Mandala,An extract from Post Capitalist Philanthropy,
94263367.futurecraft-residency-facilitators,2023-01-02T16:57:03.959Z,true,2023-01-02T16:57:04.090Z,2023-01-02T16:57:04.090Z,newsletter,everyone,Futurecraft Residency facilitators,"Join us in Cornwall, UK, 28th April – 5th May 2023",
89233818.in-correspondence-25,2022-12-07T22:58:56.284Z,true,2022-12-07T22:58:56.363Z,2022-12-07T22:58:56.363Z,newsletter,everyone,In Correspondence #25,"Embodying Collective Transformation, Solarpunk Fiction and Postcapitalist Philanthropy",
87780444.futurecraft-residency,2022-11-30T15:39:59.420Z,true,2022-11-30T15:39:59.554Z,2022-11-30T15:39:59.554Z,newsletter,everyone,Futurecraft Residency,A week-long facilitated residency on cultivating wholeness & crafting regenerative futures,
79389085.in-correspondence-24,2022-10-20T12:10:57.395Z,true,2022-10-20T12:10:57.539Z,2022-10-20T12:10:57.539Z,newsletter,everyone,In Correspondence #24,"Lunarpunk lore, Liberating Ways of Looking and Life as Practice",
72101433.in-correspondence-23,2022-09-06T16:36:16.903Z,true,2022-09-06T16:36:17.031Z,2022-09-06T16:36:17.031Z,newsletter,everyone,In Correspondence #23,"Integral facilitation, AI whispering and reforestation gatherings",
68024924.in-correspondence-22,2022-08-10T13:10:23.466Z,true,2022-08-10T13:10:23.587Z,2022-08-10T13:10:23.587Z,newsletter,everyone,In Correspondence #22,"Inner Cartography, Life as Practice and the Network State",
64047365.lunarpunk-dreams-2-gary-sheng-dreamdao,2022-07-14T14:38:36.758Z,true,,,newsletter,everyone,Lunarpunk Dreams #2: Gary Sheng (DreamDAO) on web3 in service of the hyperlocal,,
63870518.life-as-practice-a-new-course,2022-07-13T11:39:48.455Z,true,2022-07-13T11:39:48.575Z,2022-07-13T11:39:48.575Z,newsletter,everyone,Life as Practice – a new course,A four-week group journey in cultivating wholeness & developing the habits to become our best selves,
63087588.in-correspondence-21,2022-07-09T17:40:00.345Z,true,2022-07-09T17:40:00.466Z,2022-07-09T17:40:00.466Z,newsletter,everyone,In Correspondence #21,"Swedish lakes, solstice sunrises and a voice from the forest",
56322082.in-correspondence-20,2022-05-24T14:19:30.539Z,true,2022-05-24T14:19:30.639Z,2022-05-24T14:19:30.639Z,newsletter,everyone,In Correspondence #20,"Portuguese beaches, Irish mountains and Singing With Nightingales",
52627217.metacomposability-at-schelling-point,2022-04-21T18:08:25.319Z,true,2022-04-21T18:08:25.388Z,2022-04-21T18:08:25.388Z,newsletter,everyone,Metacomposability at Schelling Point,Video of my talk Teaching ReFi: Insights from a Web3 Educator,
51663367.lunarpunk-dreams-1-vince-horn-buddhist,2022-04-05T16:42:47.704Z,true,2022-04-05T16:42:47.774Z,2022-04-05T16:42:47.774Z,newsletter,everyone,"Lunarpunk Dreams #1: Vince Horn (Buddhist Geeks) on Solarpunk, Lunarpunk and a courageous web3",,
50947420.introduction-to-web3-crypto-and-refi,2022-03-24T11:23:58.448Z,true,2022-03-24T11:23:58.550Z,2022-03-24T11:23:58.550Z,newsletter,everyone,"Introduction to web3, Crypto & ReFi in May",,
47877555.in-correspondence-19,2022-04-01T14:39:12.894Z,true,2022-04-01T14:39:12.964Z,2022-04-01T14:39:12.964Z,newsletter,everyone,In Correspondence #19,"Northern Lights, Welsh Mountains and Lunarpunk Dreams",
44578263.in-correspondence-18,2022-01-01T14:03:09.608Z,true,2022-01-01T14:03:09.676Z,2022-01-01T14:03:09.676Z,newsletter,everyone,In Correspondence #18,,
35066782.tools-for-the-regenerative-renaissance-6f3,2021-04-12T15:19:58.345Z,true,2021-04-12T15:19:58.385Z,2021-04-12T15:19:58.385Z,newsletter,everyone,Tools for the Regenerative Renaissance #2,Second round of the course now open for applications,
34410577.new-course-the-promise-of-decentralisation,2021-03-27T12:10:45.873Z,true,2021-03-27T12:10:45.917Z,2021-03-27T12:10:45.917Z,newsletter,everyone,New course: The Promise of Decentralisation,"DePsy, DeFi, DAOs and Dandelion",
33621405.in-correspondence-17,2021-03-12T15:55:36.126Z,true,2021-03-12T15:55:36.163Z,2021-03-12T15:55:36.163Z,newsletter,everyone,In Correspondence #17,"Charles Eisenstein livestream, Tao Te Ching NFTs and Autopia",
31827570.news-reviews-and-autopia,2021-01-24T15:23:46.519Z,true,2021-01-24T15:23:46.585Z,2021-01-24T15:23:46.585Z,newsletter,only_paid,News Reviews & Autopia,,
31641076.news-review-this-sunday-now-3pm,2021-01-18T18:02:05.126Z,true,2021-01-18T18:02:05.337Z,2021-01-18T18:02:05.337Z,newsletter,only_paid,"News Review: This Sunday, now 3pm",,
31606459.tools-for-the-regenerative-renaissance,2021-01-17T11:50:07.518Z,true,2021-01-17T11:50:07.559Z,2021-01-17T11:50:07.559Z,newsletter,everyone,Tools for the Regenerative Renaissance,Applications close Wed 20th January 2021 at 11.59pm,
31315204.correction-autopia-honeyswap-links,2021-01-13T12:03:45.944Z,true,2021-01-13T12:03:45.981Z,2021-01-13T12:03:45.981Z,newsletter,everyone,Correction: Autopia Honeyswap links,,
31285283.autopia-aut-initial-liquidity-event,2021-01-12T17:28:55.742Z,true,2021-01-12T17:28:56.298Z,2021-01-12T17:28:56.298Z,newsletter,everyone,Autopia AUT initial liquidity event ☾,Token available on Honeyswap tomorrow at noon,
26777885.news-review-recording-709,2020-12-20T19:01:07.959Z,true,2020-12-20T19:01:08.032Z,2020-12-20T19:01:08.032Z,newsletter,only_paid,News Review recording,,
25628016.in-correspondence-16,2020-12-15T13:05:26.930Z,true,2020-12-15T13:05:27.014Z,2020-12-15T13:05:27.014Z,newsletter,everyone,In Correspondence #16,"Tools for the Regenerative Renaissance, the Autopia Token and Love Without Limits",
22539085.aut-airdrop-update,2020-12-06T09:43:39.112Z,true,2020-12-06T09:43:39.147Z,2020-12-06T09:43:39.147Z,newsletter,everyone,AUT airdrop update,,
22020916.announcing-the-aut-token,2020-12-04T15:38:15.553Z,true,2020-12-04T15:38:15.599Z,2020-12-04T15:38:15.599Z,newsletter,everyone,Announcing the AUT token,,
20537843.introduction-to-crypto-and-defi,2020-11-27T17:41:37.482Z,true,2020-11-27T17:41:37.529Z,2020-11-27T17:41:37.529Z,newsletter,everyone,Introduction to Crypto & DeFi,December course starting next week,
18577699.news-review-recording-85d,2020-11-12T17:02:17.383Z,true,2020-11-12T17:02:17.427Z,2020-11-12T17:02:17.427Z,newsletter,only_paid,News Review recording,,
18504527.zoom-link-for-tonights-news-review-c3b,2020-11-11T11:09:13.389Z,true,2020-11-11T11:09:13.485Z,2020-11-11T11:09:13.485Z,newsletter,only_paid,Zoom link for tonight's News Review,,
17273041.in-correspondence-15,2020-11-03T11:09:15.254Z,true,2020-11-03T11:09:15.293Z,2020-11-03T11:09:15.293Z,newsletter,everyone,In Correspondence #15,"Co-ops, SEEDS and crypto",
11293681.news-review-recording,2020-10-14T18:22:22.998Z,true,2020-10-14T18:22:23.025Z,2020-10-14T18:22:23.025Z,newsletter,only_paid,News Review recording,,
10904510.zoom-link-for-tonights-news-review,2020-10-14T11:03:27.513Z,true,2020-10-14T11:03:27.559Z,2020-10-14T11:03:27.559Z,newsletter,only_paid,Zoom link for tonight's News Review,,
4002301.in-correspondence-14,2020-09-26T22:26:31.420Z,true,2020-09-26T22:26:31.482Z,2020-09-26T22:26:31.482Z,newsletter,everyone,In Correspondence #14,Lost gardens and decentralised finance ,
892315.podcast-special,2020-08-24T18:02:45.442Z,true,2020-08-24T18:02:45.480Z,2020-08-24T18:02:45.480Z,newsletter,everyone,Podcast special,,
857553.in-correspondence-13,2020-08-17T09:50:50.354Z,true,2020-08-17T09:51:10.794Z,2020-08-17T09:51:10.794Z,newsletter,everyone,In Correspondence #13,"Monthly news review, the Tao, DeFi and Medicine",
725039.new-offerings,2020-07-16T13:04:08.403Z,true,2020-07-16T13:04:08.431Z,2020-07-16T13:04:08.431Z,newsletter,everyone,New offerings,"Technology & co-operative business coaching, consulting, coding & facilitation ",
666245.unplugging-from-facebook,2020-07-09T14:35:58.945Z,true,2020-07-09T14:35:59.103Z,2020-07-09T14:35:59.103Z,newsletter,everyone,Unplugging from Facebook,I'm significantly changing how I use Facebook and other corporate social media,
593449.in-correspondence-12,2020-06-28T09:42:00.134Z,true,2020-06-28T09:42:00.161Z,2020-06-28T09:42:00.161Z,newsletter,everyone,In Correspondence #12,"Don't Go Back To Normal, Dandelion and the Tao",
421061.in-correspondence-11,2020-05-01T09:39:03.886Z,true,2020-05-01T09:39:03.941Z,2020-05-01T09:39:03.941Z,newsletter,everyone,In Correspondence #11,,
326742.in-correspondence-10,2020-03-23T15:56:26.504Z,true,2020-03-23T15:56:26.571Z,2020-03-23T15:56:26.571Z,newsletter,everyone,In Correspondence #10,Coronavirus Sensemaking,
258234.in-correspondence-9,2020-02-01T11:16:01.771Z,true,2020-02-01T11:16:01.788Z,2020-02-01T11:16:01.788Z,newsletter,everyone,In Correspondence #9,"Totnes Convergence, sharing superpowers and plans for 2020",
199640.in-correspondence-8,2019-12-16T22:56:33.643Z,true,2019-12-16T22:56:34.119Z,2019-12-16T22:56:34.119Z,newsletter,everyone,In Correspondence #8,"New network view, Green Party debut & Totnes Convergence",
161552.in-correspondence-7,2019-11-04T15:50:30.858Z,true,2019-11-04T15:50:30.875Z,2019-11-04T15:50:30.875Z,newsletter,everyone,In Correspondence #7,"Extinction Rebellion, ISTA & Emerge",
120814.in-correspondence-6,2019-09-10T16:33:23.221Z,true,2019-09-10T16:33:23.242Z,2019-09-10T16:33:23.242Z,newsletter,everyone,In Correspondence #6,"XR Rebel Rising, Embercombe & The Amazon",
98954.in-correspondence-5,2019-08-05T16:45:22.482Z,true,2019-08-05T16:45:22.503Z,2019-08-05T16:45:22.503Z,newsletter,everyone,In Correspondence #5,"Borderland, New Moon Gathering & ICONOMI",
82603.in-correspondence-4,2019-07-08T12:34:39.346Z,true,2019-07-08T12:34:39.373Z,2019-07-08T12:34:39.373Z,newsletter,everyone,In Correspondence #4,,
61531.in-correspondence-3,2019-05-24T10:34:33.377Z,true,2019-05-24T10:34:33.748Z,2019-05-24T10:34:33.748Z,newsletter,everyone,In Correspondence #3,,
53186.in-correspondence-2,2019-04-27T17:05:25.462Z,true,2019-04-27T17:05:25.480Z,2019-04-27T17:05:25.480Z,newsletter,everyone,In Correspondence #2,,
42022.in-correspondence-1,2019-03-24T09:13:33.437Z,true,2019-03-24T09:13:33.451Z,2019-03-24T09:13:33.451Z,newsletter,everyone,In Correspondence #1,,
