"name","slug","url","year","category","created_at","image"
"Unraveling the Dream","unraveling-the-dream","https://www.youtube.com/watch?v=r5KRnstXYUg","2026","","2026-05-22T08:45:25.000Z","/images/films/unraveling-the-dream.jpg"
"The Eternal Song","the-eternal-song","https://theeternalsong.org/","2025","indigenous thinking","2025-06-13T15:14:17.000Z","/images/films/the-eternal-song.jpg"
"The Thinking Game","the-thinking-game","https://www.youtube.com/watch?v=d95J8yzvjbQ","2025","","2026-02-17T07:26:43.000Z","/images/films/the-thinking-game.jpg"
"The New Peasants","the-new-peasants","https://www.happenfilms.com/films/the-new-peasants","2025","","2026-02-17T07:27:46.000Z","/images/films/the-new-peasants.jpg"
"Where Olive Trees Weep","where-olive-trees-weep","https://www.imdb.com/title/tt32316068/","2024","life","2024-08-11T07:54:07.000Z","/images/films/where-olive-trees-weep.jpg"
"Purpose","purpose","https://purpose.film/","2024","","2025-06-13T15:12:39.000Z","/images/films/purpose.webp"
"Water Is Love","water-is-love","https://www.waterislovefilm.org/","2024","nature connection","2024-08-11T07:52:52.000Z","/images/films/water-is-love.jpg"
"Flow","flow","https://www.imdb.com/title/tt4772188/","2024","","2025-06-14T06:57:19.000Z","/images/films/flow.jpg"
"Scavengers Reign","scavengers-reign","https://www.imdb.com/title/tt21056886/","2023","","2025-06-14T06:55:03.000Z","/images/films/scavengers-reign.jpg"
"Imprint","imprint","https://campfire-stories.org/imprint-avtryck/","2023","solarpunk","2023-10-30T10:15:37.000Z","/images/films/imprint.png"
"Regenerating Life","regenerating-life","https://hummingbirdfilms.com/regeneratinglife/","2023","nature connection","2024-08-19T14:04:04.000Z","/images/films/regenerating-life.jpg"
"Wilding","wilding","https://www.imdb.com/title/tt28834285/","2023","","2025-07-02T08:38:37.000Z","/images/films/wilding.png"
"The Week","the-week","https://theweek.ooo/","2023","","2023-10-30T12:15:40.000Z","/images/films/the-week.png"
"Holding Up The Sky","holding-up-the-sky","https://www.imdb.com/title/tt14678754/","2023","indigenous thinking","2024-09-13T08:57:32.000Z","/images/films/holding-up-the-sky.jpg"
"Common Ground","common-ground","https://www.imdb.com/title/tt27547378/","2023","nature connection","2024-08-26T09:16:40.000Z","/images/films/common-ground.jpg"
"Gratitude Revealed","gratitude-revealed","https://www.imdb.com/title/tt21235684/","2022","life","2023-10-30T10:02:57.000Z","/images/films/gratitude-revealed.jpg"
"Everything Everywhere All at Once","everything-everywhere-all-at-once","https://www.imdb.com/title/tt6710474/","2022","","2025-06-14T07:00:16.000Z","/images/films/everything-everywhere-all-at-once.jpg"
"Pantheon","pantheon","https://www.imdb.com/title/tt11680642","2022","","2025-06-14T06:55:54.000Z","/images/films/pantheon.jpg"
"The Last Forest","the-last-forest","https://www.imdb.com/title/tt14029622/","2021","indigenous thinking","2023-10-30T10:02:57.000Z","/images/films/the-last-forest.jpg"
"The Year Earth Changed","the-year-earth-changed","https://www.imdb.com/title/tt14372240/","2021","nature connection","2024-08-19T14:01:19.000Z","/images/films/the-year-earth-changed.jpg"
"The Wisdom of Trauma","the-wisdom-of-trauma","https://www.imdb.com/title/tt13863968/","2021","key thinkers","2023-10-30T10:55:58.000Z","/images/films/the-wisdom-of-trauma.jpg"
"The Hidden Life of Trees","the-hidden-life-of-trees","https://www.imdb.com/title/tt11276298/","2020","nature connection","2024-08-19T13:58:22.000Z","/images/films/the-hidden-life-of-trees.jpg"
"My Octopus Teacher","my-octopus-teacher","https://www.imdb.com/title/tt12888462/","2020","nature connection","2023-10-30T10:15:37.000Z","/images/films/my-octopus-teacher.jpg"
"Infinite Potential","infinite-potential","https://www.imdb.com/title/tt12577912/","2020","key thinkers","2023-10-30T10:15:37.000Z","/images/films/infinite-potential.jpg"
"Kiss the Ground","kiss-the-ground","https://www.imdb.com/title/tt8618654/","2020","solarpunk","2023-10-30T10:02:57.000Z","/images/films/kiss-the-ground.jpg"
"2040","2040","https://www.imdb.com/title/tt7150512/","2019","solarpunk","2023-10-30T10:02:57.000Z","/images/films/2040.jpg"
"Fantastic Fungi","fantastic-fungi","https://www.imdb.com/title/tt8258074/","2019","nature connection","2023-10-30T10:02:57.000Z","/images/films/fantastic-fungi.jpg"
"Ex-Shaman","ex-shaman","https://www.imdb.com/title/tt7754564/","2018","indigenous thinking","2023-10-30T10:02:57.000Z","/images/films/ex-shaman.jpg"
"Symbiotic Earth","symbiotic-earth","https://www.imdb.com/title/tt6932282/","2018","key thinkers","2023-10-30T10:02:57.000Z","/images/films/symbiotic-earth.jpg"
"Worlds of Ursula K. Le Guin","worlds-of-ursula-k-le-guin","https://www.imdb.com/title/tt10022158/","2018","key thinkers","2023-10-30T10:02:57.000Z","/images/films/worlds-of-ursula-k-le-guin.jpg"
"Living the Change","living-the-change","https://www.imdb.com/title/tt8115474/","2018","","2024-08-19T14:07:37.000Z","/images/films/living-the-change.webp"
"The Biggest Little Farm","the-biggest-little-farm","https://www.imdb.com/title/tt8969332/","2018","","2024-08-19T14:11:46.000Z","/images/films/the-biggest-little-farm.jpg"
"Walk With Me","walk-with-me","https://www.imdb.com/title/tt2331100/","2017","meditation","2023-10-30T10:48:17.000Z","/images/films/walk-with-me.jpg"
"Tawai","tawai","https://www.imdb.com/title/tt3638960/","2017","indigenous thinking","2023-10-30T10:32:56.000Z","/images/films/tawai.jpg"
"The Divided Brain","the-divided-brain","https://www.imdb.com/title/tt9196658/","2017","key thinkers","2023-10-30T10:53:57.000Z","/images/films/the-divided-brain.jpg"
"The Art of Life","the-art-of-life","https://www.imdb.com/title/tt7608016/","2017","life","2023-10-30T10:15:37.000Z","/images/films/the-art-of-life.jpg"
"A Simpler Way","a-simpler-way","https://www.imdb.com/title/tt5786564/","2016","","2024-08-19T14:08:48.000Z","/images/films/a-simpler-way.jpg"
"Minimalism","minimalism","https://www.imdb.com/title/tt3810760/","2015","life","2023-10-30T11:05:06.000Z","/images/films/minimalism.jpg"
"Tomorrow","tomorrow","https://www.imdb.com/title/tt4449576/","2015","solarpunk","2023-10-30T10:33:53.000Z","/images/films/tomorrow.jpg"
"Embrace of the Serpent","embrace-of-the-serpent","https://www.imdb.com/title/tt4285496/","2015","indigenous thinking","2023-10-30T10:02:57.000Z","/images/films/embrace-of-the-serpent.jpg"
"Aluna","aluna","https://www.imdb.com/title/tt2358887/","2012","indigenous thinking","2023-10-30T10:59:32.000Z","/images/films/aluna.jpg"
"Samsara","samsara","https://www.imdb.com/title/tt0770802/","2011","silent","2023-10-30T10:50:08.000Z","/images/films/samsara.jpg"
"An Ecology of Mind","an-ecology-of-mind","https://www.imdb.com/title/tt1679144/","2010","key thinkers","2023-10-30T10:53:31.000Z","/images/films/an-ecology-of-mind.jpg"
"Ancient Futures: Learning from Ladakh","ancient-futures-learning-from-ladakh","https://www.imdb.com/title/tt2297638/","1993","indigenous thinking","2023-10-30T10:15:37.000Z","/images/films/ancient-futures-learning-from-ladakh.jpg"
"Baraka","baraka","https://www.imdb.com/title/tt0103767/","1992","silent","2024-08-26T09:18:02.000Z","/images/films/baraka.jpg"
"Mindwalk","mindwalk","https://www.imdb.com/title/tt0100151/","1990","key thinkers","2023-10-30T10:15:37.000Z","/images/films/mindwalk.jpg"
