"date","name","url","location","organisation_name","hidden","updated_at"
"2026-02-06","Stephen Reid on Technological Metamodernism","https://lifeitselfresearch.substack.com/p/stephen-reid-on-technological-metamodernism","Life Itself","","","2026-03-14T08:39:05.000Z"
"2025-10-27","Building Communities, Rethinking Tech & Imagining a Loving Future","https://www.youtube.com/watch?v=FshgqkiNzws","Emerge Lakefront","","","2026-03-14T08:37:26.000Z"
"2025-10-26","A Pinch of Salt, An Excess of Awe?","https://www.eventbrite.co.uk/e/stephen-reid-a-pinch-of-salt-an-excess-of-awe-tickets-1845225141069?aff=ebdsoporgprofile","University of Oxford","","","2025-11-10T12:59:42.000Z"
"2025-10-09","Collaboration in non-hierarchical organisations","https://docs.google.com/presentation/d/1K8GuyycksJdf_QV5xsz9UGvFm9_5v_pKX1D1rBswBUc/edit?slide=id.g38a13e3007c_2_56#slide=id.g38a13e3007c_2_56","Emerge Lakefront","","","2025-10-27T09:28:43.000Z"
"2025-08-05","Technofeudalism, Network Nations and the Future of Dandelion","https://docs.google.com/document/d/1HvvtL-pdtvtNbgIOuL78Ib6h_ReZMEak9a0pKkRRY-U/edit?tab=t.ce0jcn55tfbo","Shoreditch &Soul","","","2025-10-02T19:28:31.000Z"
"2024-11-25","Community Weaving with Stephen Reid","https://www.youtube.com/watch?v=j-fl4l79o34","","Illuminating Life","","2024-12-03T12:33:09.000Z"
"2024-10-07","Laura Reeves on Amazonian Awakening, Emotion Release and Solstice Retreats","https://www.youtube.com/watch?v=QQBsb1mlPZQ","","Dandelion","true","2024-12-03T12:32:09.000Z"
"2024-09-26","Adam Taffler on Circling, Authentic Relating and the Wheel of Consent","https://www.youtube.com/watch?v=Aqwzt_7xjj0","","Dandelion","true","2024-12-03T12:32:10.000Z"
"2024-09-10","Stephen Reid on Technological Metamodernism","https://michaelgarfield.substack.com/p/226","","Future Fossils","","2024-10-30T08:30:22.000Z"
"2024-09-09","Chris Hardy on Embodied Relating and Ethical Hedonism","https://www.youtube.com/watch?v=My9Cej8FLWY","","Dandelion","true","2024-12-03T12:32:10.000Z"
"2024-09-08","Technological Metamodernism - Navigating Complexity in a Post-Truth World","https://open.spotify.com/episode/0hZgBNSqFuchuyeev1ObpT","Catalyzing Radical Systemic Change","","true","2024-12-03T12:33:47.000Z"
"2024-08-16","Technological Metamodernism with Stephen Reid","https://open.spotify.com/episode/5Rtjr3N95IjgqfSZ6aQKWz?si=bf353677f4b64cac","","Buddhist Geeks","","2024-08-19T10:56:16.000Z"
"2024-07-24","The Metamodern Art of Ironic Sincerity","https://www.facebook.com/groups/682069748479128","The Borderland","","","2024-09-04T09:15:48.000Z"
"2024-07-08","Bonny Tydeman on Soulful Leadership","https://www.youtube.com/watch?v=uT6gcPPjmXM","","Dandelion","true","2024-12-03T12:32:11.000Z"
"2024-06-15","Exploring AI and the Metacrisis","https://www.youtube.com/watch?v=qb9PVNqVCkY&t=11s","","Ma Earth","","2024-07-12T13:54:32.000Z"
"2024-06-15","Technological Metamodernism","https://docs.google.com/presentation/d/1OrSSnlO-8M-MhrREjCOC_v5beNXOGtEVwNs0lxLkMaM/edit","","ZuBerlin","","2024-07-12T13:56:38.000Z"
"2024-05-31","Conor Cregg on Soulful Masculinity and Sex Club","https://www.youtube.com/watch?v=cHE2mguc7M0","","Dandelion","true","2024-12-03T12:32:12.000Z"
"2024-05-09","Emptiness and Metamodernism: Exploring the Resonances Between Rob Burbea and Hanzi Freinacht","https://docs.google.com/document/d/1rFId0_LvD6sqH3ZI_hqhaIQtZNyxS2ICaeWgoxUrWDY/edit","","Hermes Amara Foundation","","2024-05-09T19:24:13.000Z"
"2024-05-09","Gaia Harvey Jackson and Alana Hyde Bloom from True Nature","https://www.youtube.com/watch?v=D8YGA9Idhzs","","Dandelion","true","2024-12-03T12:32:11.000Z"
"2024-05-09","Osara from Ecstatic Dance Bristol and Ace Collectiv","https://www.youtube.com/watch?v=iCgFqKaqy9k","","Dandelion","true","2024-12-03T12:32:13.000Z"
"2024-03-20","How technology shapes what it means to be human","https://www.findingedyn.com/","","edyn","","2024-03-23T10:12:47.000Z"
"2024-01-21","AI and our Regenerative Future","https://docs.google.com/document/d/1d8fo8QGW1-la6-NrD5Tg0Q9k_jUlrHbjF5wscBQRjqI/edit","Building Our Regenerative Future","","","2024-01-28T09:07:11.000Z"
"2023-08-17","Medicine Circles: Get involved in one of Medicine Festival's new local groups","https://stephenreid.substack.com/p/in-correspondence-31","","Medicine Festival","","2024-02-20T18:33:02.000Z"
"2023-06-20","Reforge the Ring #1: Accumulation, Extraction & Abstraction","https://www.youtube.com/watch?v=qDCOZfKdOvE","","","","2023-09-22T18:02:49.000Z"
"2023-06-20","Reforge the Ring #2: Distribution, Contextualization & Instantiation","https://www.youtube.com/watch?v=3ZQDUB28ucs","","","","2023-09-22T18:03:11.000Z"
"2023-03-24","Metacrisis.xyz with Stephen Reid","https://www.youtube.com/watch?v=7eWW5YQgVXI","","GreenPill","","2023-03-30T14:45:11.000Z"
"2023-02-22","Post Capitalism & Psychedelic Colonialism with Alnoor Ladha, Lynn Murphy and Stephen Reid","https://www.youtube.com/watch?v=WIjGYPmJIDo","","","","2023-02-26T11:48:31.000Z"
"2022-12-06","Crypto, Climate and Regenerative Finance","https://www.eventbrite.co.uk/e/crypto-climate-and-regenerative-finance-refi-spring-bristol-tickets-430941546767","ReFi Spring Bristol","","","2022-12-07T16:57:18.000Z"
"2022-12-06","Psychedelics and the Regenerative Renaissance","https://www.facebook.com/events/5581044335307776","University of Bristol","","","2022-12-07T16:56:32.000Z"
"2022-08-19","Web3 and the Radical Imagination","https://medicinefestival.com/web3-and-the-radical-imagination/","","Medicine Festival","","2022-09-26T20:38:55.000Z"
"2022-07-22","Web3 & the Regenerative Renaissance","https://open.spotify.com/episode/6ni1oldoTlvORuCELtVDZ3?si=ea849be7e86b4879","Catalyzing Radical Systemic Change","","","2022-12-07T21:38:43.000Z"
"2022-06-28","Stephen Reid & Rufus Pollock on Worker Cooperatives and DAOs","https://www.youtube.com/watch?v=cLC6Dlc_VnI","","Life Itself","","2022-09-26T20:38:58.000Z"
"2022-04-21","Teaching ReFi: Insights from a web3 Educator ","https://www.youtube.com/watch?v=u041rA9bPQ4","Schelling Point","","","2022-04-21T14:21:08.000Z"
"2022-03-16","DAOs and the future of co-operation","https://docs.google.com/presentation/d/1pv4sB-s-co35x9FGAOaAnWYbHGDi-Hh0APMj2bv7Zt4/edit","","Google","","2022-09-26T20:40:33.000Z"
"2022-01-26","Richard D. Bartlett, Stephen Reid & Rufus Pollock on Critical Exploration of Web3","https://www.youtube.com/watch?v=bBP5cKAbAug","","Life Itself","","2022-09-26T20:38:57.000Z"
"2021-03-13","Charles Eisenstein on the Regenerative Renaissance","https://www.youtube.com/watch?v=KNBjjGVZypw","","RenaissanceU","","2022-09-26T20:39:58.000Z"
"2021-03-01","Stephen Reid On DAOs, Psychedelics & The Regenerative Renaissance","https://open.spotify.com/episode/61KwDfa26EzogiMKbdNqUX","","The Lightfoot Podcast","","2022-09-26T20:40:00.000Z"
"2020-12-02","Psychedelic Futures: The Pollination Approach","https://www.youtube.com/watch?v=ehYPlMinE9Y","","The Psychedelic Society","","2022-09-26T20:40:00.000Z"
"2020-11-18","Psychedelics and the Living Planet","https://www.youtube.com/watch?v=T21-soMHNZU&t=601s","University of Cambridge","","true","2022-09-26T20:22:37.000Z"
"2020-10-20","Stephen Reid: Psychedelics, Meditation & Enlightenment","https://youtu.be/UuXfuc5-PbU","","Adventures in Awareness","","2022-02-07T13:00:13.000Z"
"2020-08-29","Tech for Good: The Promise of Decentralisation","https://medicinefestival.com/","","Medicine Festival","","2022-09-26T20:38:54.000Z"
"2020-08-29","The Corporatisation of Medicine","https://medicinefestival.com/","","Medicine Festival","","2022-09-26T20:38:55.000Z"
"2020-08-01","Stephen Reid on Decentralised Systems, Antifragility and Psychedelics as Amplifiers for Innovation","https://open.spotify.com/episode/2JEyfRdOvO9Wt9VWsrqsNM","","PsyX","","2022-02-07T13:00:27.000Z"
"2020-04-19","Sacred Solidarity panel with Alex Grey & Allyson Grey, Rick Doblin, Francoise Bourzat, Sam Gandy, Bia Labate and Gail Bradbrook","https://www.thespore.org/sacred-solidarity","","SPORE","","2022-09-26T20:38:22.000Z"
"2019-12-07","How Should Totnes Greens Vote?","https://www.facebook.com/events/498813297510648/","Totnes Civic Hall","","","2019-12-08T00:10:28.000Z"
"2019-11-12","The Mind, Meditation & Psychedelics","https://www.facebook.com/events/2415296858725492/","University of Exeter","","","2019-11-15T12:48:16.000Z"
"2019-11-11","Sacred Sigils: Magic in the Anthropocene","http://houseofhackney.com/","House of Hackney","","","2019-11-15T12:48:34.000Z"
"2019-10-06","Psilocybin Mushrooms for a Regenerative Society","https://fungifest.uk/","Fungi Fest","","","2019-10-23T15:13:04.000Z"
"2019-09-08","Psychedelics, Extinction and Social Change","https://www.facebook.com/events/425386821647033/","XR South West Rebel Rising","Extinction Rebellion","","2019-10-04T10:36:32.000Z"
"2019-09-03","David Luke and Stephen Reid in conversation","https://www.facebook.com/events/635383580290874/","","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2019-08-24","Psychedelics, Extinction and Social Change","https://open.spotify.com/episode/0jXR11eOd0MSyfXx5ixLT6?si=TMz_CqPTQUeffpyWQjk6hA","Shambala Festival","Shambala","","2022-02-07T13:01:23.000Z"
"2019-07-16","Psychedelics and the Living Planet","http://stirtoaction.com","Stir to Action Festival","Stir to Action","","2019-10-04T10:35:56.000Z"
"2019-07-11","Integration Through Social Action","https://noisilyfestival.com/mind-body-soul/","Noisily Festival","Noisily","","2019-10-04T10:34:15.000Z"
"2019-06-26","Rupert Sheldrake, Robin Carhart-Harris and Stephen Reid in conversation","https://www.youtube.com/watch?v=l4HuFHWPc6k","EartH, Hackney","The Psychedelic Society","","2022-02-07T13:06:25.000Z"
"2019-06-08","Growing A Psychedelic Sociey","https://theoddball.org.uk","The Oddball","","",""
"2019-05-01","Autopia: a platform for co-created gatherings","https://www.facebook.com/events/437525963484936/","Newspeak House","","","2022-02-07T13:04:59.000Z"
"2019-04-24","Psychedelics, Extinction and Social Change","https://ccc19.org","","Findhorn","","2022-09-26T20:39:31.000Z"
"2019-04-11","Sunday Assembly Lates: Let's Talk About Drugs","https://www.facebook.com/events/336186200338520/","Conway Hall","Sunday Assembly","","2019-10-04T10:35:43.000Z"
"2019-04-06","Regenerative Activism and the Ecology of Movements","https://www.facebook.com/events/2279941358945913/","","Advaya","","2022-09-26T20:39:56.000Z"
"2019-01-30","Psychedelics and the Living Planet & The Psychedelic Renaissance","https://www.luminatefestival.co.nz/workshop/psychedelics-and-the-living-planet/","Luminate Festival, Aotearoa New Zealand","Luminate","","2020-02-03T15:39:36.000Z"
"2019-01-15","Psychedelics, Extinction and Social Change","https://www.youtube.com/watch?v=_7jttWq4WjY","Conway Hall","The Psychedelic Society","","2022-02-07T13:03:06.000Z"
"2018-12-18","The Promise of Psychedelics | David Nutt, Amanda Feilding, Stephen Reid","https://soundcloud.com/instituteofartandideas/the-promise-of-psychedelics-david-nutt-amanda-fielding-stephen-reid","","Institute for Art and Ideas","","2022-02-07T13:05:18.000Z"
"2018-12-01","Magic Medicine","https://hubble-live-assets.s3.amazonaws.com/globalhealthfilm/redactor2_assets/files/37/Global_Health_Film_Festival_2018_-_final_programme_04_December_2018.pdf","Global Health Film Festival","","","2020-01-06T21:36:21.000Z"
"2018-11-29","Stephen Reid on Psychedelics, Extinction Rebellion and Metamodernism: Reconnecting with Nature in These Urgent Times","http://www.thefutureisbeautiful.co/2018/11/29/e41-stephen-reid-on-psychedelics-extinction-rebellion-and-metamodernism-reconnecting-with-nature-in-these-urgent-times/?fbclid=IwAR1vKX1S1Ij8NkArkHYy1Ldxvt56bapYDtaFgYQ57b73aJDAGqu13ly1zXM&utm_source=discussion_mailer&utm_medium=email&utm_campaign=discussion_announced","","The Future Is Beautiful","","2022-02-07T13:05:10.000Z"
"2018-11-01","Extinction Magic: A Grief Ritual for Rebellion","https://www.facebook.com/events/281776239130479/","Parliament Square","","",""
"2018-10-09","Using Psychedelics For Mental Health","https://innertruth.org/podcast/using-psychedelics-for-mental-health-with-stephen-reid/","","Inner Truth","","2022-02-07T13:04:32.000Z"
"2018-10-01","Grand Opening of the Psychedelic Society's new space in London","https://www.facebook.com/events/1091865520971010/","","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2018-10-01","Stephen Reid and Daniel Thorson","https://open.spotify.com/episode/1HuvAyFHaBAmpYj29BvHxa?si=evyU6-3PT16u2g32ge67Mw","","Alter Ego","","2022-02-07T13:04:24.000Z"
"2018-07-30","The Psychedelic Renaissance","https://anchor.fm/emerge/episodes/Stephen-Reid---Psychedelic-Renaissance-e1t4jt","","Emerge","","2022-09-26T20:48:24.000Z"
"2018-07-01","Psychedelics, Nonduality and the Nature of Consciousness","http://www.noisilyfestival.com/mind-body-and-soul/talks-and-workshops/","Noisily Festival","Noisily","","2019-10-04T10:36:59.000Z"
"2018-07-01","Launch of the Psychedelics for Mental Health campaign","https://www.independent.co.uk/news/long_reads/psychedelic-drugs-new-class-antidepressant-albert-hofmann-lsd-a8437201.html","","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2018-07-01","Psychedelic Integration","https://www.boomfestival.org/boom2018/program/ngo-django/psychedelic-society/","Boom Festival","Boom","","2019-10-04T10:36:56.000Z"
"2018-06-01","Psychedelics, Democracy and Reform","http://beyondpsychedelics.cz/","","Beyond Psychedelics","","2022-09-26T20:39:25.000Z"
"2018-05-01","A Long Strange Trip","https://hay.htlgi.iai.tv/events/a-long-strange-trip-2144","HowTheLightGetsIn","HowTheLightGetsIn Festival","","2022-02-07T13:04:59.000Z"
"2018-04-01","Growing A Psychedelic Society","https://www.lsd75.ch/reid","LSD75","","",""
"2017-10-01","Psychedelics and Mystical Experience","https://www.new-unity.org/eventslist/2017/10/22/psychedelics-and-mystical-experience","","New Unity","","2022-09-26T20:40:51.000Z"
"2016-12-01","The Legal Regulation of Psychedelics","https://www.youtube.com/watch?v=nSz2AhQr52k","Conway Hall","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2016-11-01","Launch of the Psychedelic Society of Brighton","https://www.facebook.com/events/1825383351076287/","","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2016-09-01","Growing A Psychedelic Society","http://beyondpsychedelics.cz/wp-content/uploads/2016/09/program.pdf","","Beyond Psychedelics","","2022-09-26T20:39:30.000Z"
"2016-07-01","Psychedelics and Nonduality","https://www.youtube.com/watch?v=iIFkSIfbObA","Conway Hall","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2016-02-01","This House believes that taking recreational drugs is worth the risk","https://cus.org/civicrm/event/info?reset=1&id=1193","Cambridge Union","","",""
"2015-07-01","Launch of the Psychedelic Society of Bristol","https://www.facebook.com/events/680897688721957/","","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2015-06-01","Launch of the Psychedelic Society of Manchester","https://www.facebook.com/events/1441441909485474/","","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2015-04-01","Launch of the Psychedelic Society of Edinburgh","https://www.facebook.com/events/469141256573445/","","The Psychedelic Society","","2021-06-23T10:55:38.000Z"
"2014-11-01","Mainstreaming Psychedelics (launch of The Psychedelic Society)","https://www.facebook.com/events/579511348820249/","Conway Hall","The Psychedelic Society","","2022-09-26T20:47:20.000Z"
"2012-09-23","Black tie activists crash HMRC boss' retirement do","https://www.youtube.com/watch?v=3w4tcIsaInE","","The Intruders","","2025-04-04T05:27:57.000Z"
